FACILITY_NAME,GHGRP_ID,ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY NAME,STATE,ZIP,GHG_QUANTITY,TYPE
NORTH WELD SANITARY LANDFILL,1007880,40000 WELD COUNTY RD 25,40.58156,-104.8318,AULT,WELD,CO,80610,3254,fc
Natural Soda,1010576,3200 CR31,39.886477,-108.332665,Rifle,RIO BLANCO COUNTY,CO,81650,50798,fc
Nucla,1007676,30739 DD 30 ROAD,38.2387,-108.5083,NUCLA,Montrose,CO,81424,543808,fc
O'Connor Gas Plant,1010119,,40.352206,-104.587772,LaSalle,Weld,CO,80645,42726,fc
OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,1001975,11133 Eastman Park Drive,40.461452,-104.849165,Windsor,WELD COUNTY,CO,80550,60748,fc
Outlaw Compressor Station,1001947,,37.1745,-107.7786,DURANGO,La Plata,CO,81303,8231,fc
"Oxbow Mining, LLC",1009623,3737 Highway 133,38.926289,-107.470007,Somerset,GUNNISON COUNTY,CO,81434,14989,fc
PIONEER NAT RES - BURRO CANYON CS,1002533,,37.15515,-104.66506,COKEDALE 2.3 MI. W OF,Las Animas,CO,81082,31704,fc
PIONEER NAT RES - TAMBURELLI CS,1002535,,37.2532,-104.657,"COKEDALE, 7.7 MI N OF",Las Animas,CO,81082,36914,fc
PIONEER NAT RESOURCES - COTTONTAIL PASS,1006559,,37.21847,-104.7824,COKEDALE,Las Animas,CO,81082,43277,fc
PIONEER NAT RESOURCES - WET CANYON CS,1002534,,37.1519,-104.85782,COKEDALE,Las Animas,CO,81082,40769,fc
PLAINS END Generating Station,1003138,8950 HIGHWAY 93,39.872093,-105.240616,Arvada,JEFFERSON,CO,80007,23660,fc
PLATTEVILLE GAS PLANT,1005678,13675 WELD COUNTY ROAD 34,40.232045,-104.798221,PLATTEVILLE,WELD,CO,80651,48486,fc
PUBLIC SERVICE CO DENVER STEAM PLT,1002817,1875 DELGANY STREET (19TH AND DELGANY),39.75583,-104.99924,DENVER,DENVER,CO,80202,61069,fc
Pawnee,1001048,14940 County Road 24,40.2217,-103.6803,Brush,Morgan,CO,80723,4119217,fc
Plateville Compressor Station,1006880,,40.2235,-104.7196,Brighton,Weld,CO,80601,36807,fc
Pueblo Airport Generating Station,1000558,400 N 27th Lane,38.322,-104.533,Pueblo,Pueblo,CO,81001,541705,fc
Pump Canyon Compreesor Station,1011983,,37.045517,-107.679114,Durango,La Plata,CO,81301,27505,fc
RIFLE CMP STN,1006929,,39.531599,-107.829371,RIFLE,Garfield,CO,81650,29886,fc
ROCKY MOUNTAIN BOTTLE COMPANY,1003465,10619 W 50TH AVE,39.78741,-105.11498,WHEAT RIDGE,JEFFERSON COUNTY,CO,80033,57199,fc
ROGGEN GAS PLANT,1002031,35409 WELD COUNTY ROAD 18,40.117556,-104.387444,ROGGEN,WELD,CO,80652,41303,fc
Rabbit Brush Compressor Station,1002946,,39.478517,-108.021664,Parachute,Garfield,CO,81635,24300,fc
Rangely Gas Plant,1009244,100 Chevron Road,40.1064831,-108.8670246,Rangely,,CO,81648,10826,fc
Rawhide Energy Station,1001062,2700 East County Road 82,40.8611,-105.0206,Wellington,Larimer,CO,80549,1881687,fc
Ray D Nixon,1001195,6598 RAY NIXON RD,38.6306,-104.7056,FOUNTAIN,El Paso,CO,80817,1555825,fc
Rocky Mountain Energy Center,1000271,6211 WELD COUNTY RD 51,40.0911,-104.5947,KEENESBURG,Weld,CO,80643,827194,fc
Rocky Turbine Compressor Station,1011877,,40.4639,-104.4039,Kersey,Weld,CO,80624,26274,fc
Ryan Gulch Compressor Station,1002941,,39.8981,-108.3347,"MEEKER, 23.3 MI W OF",Rio Blanco,CO,81641,33802,fc
SAMSON RESOURCES SPRING CREEK CS,1001067,,37.092635,-107.576296,IGNACIO,La Plata,CO,81137,35474,fc
SOUTH IGNACIO CDP,1006519,,37.054116,-107.625701,IGNACIO,La Plata,CO,81137,26657,fc
SPINDLE GAS PROCESSING PLANT,1002415,9101 WELD COUNTY RD 14,40.088944,-104.884194,FT LUPTON,WELD,CO,80621,42617,fc
"STERLING ETHANOL, LLC",1006055,450 ANGUS AVENUE,40.6375,-103.190556,STERLING,LOGAN,CO,80751,53325,fc
SUMMIT COUNTY LANDFILL,1005695,639 LANDFILL RD,39.608712,-105.997922,DILLON AREA,SUMMIT,CO,80435,20,fc
SUNCOR ENERGY (USA) COMMERCE CITY REFINERY,1007923,5801 BRIGHTON BLVD,39.805556,-104.944444,COMMERCE CITY,ADAMS,CO,80022,558340,fc
Sambrito Compressor Station,1001763,,37.0445,-107.4935,Durango,La Plata,CO,81301,42844,fc
Spindle Hill Energy Center,1000486,6335 WELD COUNTY RD 19,40.0914,-104.8819,Fort Lupton,Weld,CO,80621,109020,fc
St. Vrain Compressor Station,1011904,,40.23199641,-104.8832681,Platteville,Weld,CO,80651,27731,fc
Sterling Energy Investments LLC Centennial Gas Plant,1011986,47285 County Road 100,40.711642,-104.285426,Briggsdale,,CO,80611,25190,fc
Story Gulch Compressor Station,1010414,370 17th Street Suite 1700,39.74346,-104.98796,Denver,DENVER COUNTY,CO,80202,65389,fc
Twentymile Mine,1001682,29515 Route County Road #27,40.334417,-107.081476,Oak Creek,ROUTT COUNTY,CO,80467,3428,fc
Twin Landfill Corporation,1006834,20650 County Road 205,40.474444,-107.04,Milner,ROUTT COUNTY,CO,80487,11,fc
US Air Force Academy,1005492,8120 Edgerton Drive,38.990611,-104.860572,USAFA,EL PASO,CO,80840,29965,fc
